Statement,Disease
"ঘেরের পানিও কেমন জানি ঘোলা হইয়া গেছে, আর মাছগুলার গায়ে ঘা। ঘা এর চারিদিকে লাল হইয়া রইছে।",Hemorrhagic Septicemia
মাছের গায়ে যেন কেউ সাদা রঙের ফুলের মহাদেশ বানাইছে। এই মহাদেশেই মাছের জীবন শেষ।,Saprolegniasis
"মাছের ফুলকাটা খুললে ভিতরে টকটকা লাল, মনে হয় রক্ত ঝরতেছে। মাছটা এইজন্যেই শ্বাস নিতে পারে না।",Red Spot Disease
মাছগুলা এমনভাবে উল্টাইয়া যায় যে আর সোজা হইতে পারে না। পেটটা উপরের দিকে দিয়া খালি ভাসে।,Streptococcosis
"এই রোগে মাছের কোনো খিদা থাকে না, খাবার দিলেও খায় না। না খাইয়া খাইয়াই মইরা যায়।",Hemorrhagic Septicemia
আমার বোয়াল মাছগুলার শরীরটা এমনভাবে বাঁকাইয়া গেছে যে মাথাটা লেজের দিকে চইলা গেছে। মাছটা আর কোনোদিন সোজা হইতে পারব না।,Streptococcosis
"এইবার মাছ চাষে আমার কপাল পুড়সে, সব মাছের গায়ে এই বিদঘুটে ঘা দেখা দিসে।",Epizootic Ulcerative Syndrome
এই রোগ হইলে মাছের আর কোনো স্বাদ থাকে না। খাইতে একদম পাংশা লাগে।,Saprolegniasis
এই রোগ হইলে মাছের গা দিয়া কেমন একটা রক্তের কাঁচা গন্ধ আহে। আর গায়ে তো লাল লাল দাগ আছেই।,Red Spot Disease
শিং মাছের গায়ের রঙ বদলাইয়া কেমন লালচে হইয়া গেছে। কাঁটার গোড়াতেও রক্তের ফোটা।,Hemorrhagic Septicemia
মাছটা কোনো কারণ ছাড়াই পানির মইধ্যে লাফাইতে থাকে আর উল্টাপাল্টা সাঁতার কাটে। মাছটারে দেইখা পুরাপুরি অসুস্থ মনে হয়।,Streptococcosis
"আমার কই মাছের পাখনাগুলা সব লাইগা গেছে, আর নড়াচড়া করতে পারে না।",Fin and Tail Rot
"মাছের কানকোটা ফ্যাকাশে হইয়া গেছে, আর পাখনাগুলার গোড়ায় রক্ত জমছে। মাছটার অবস্থা ভালো না।",Hemorrhagic Septicemia
এই ছত্রাকগুলার জন্যেই মাছের ডিম নষ্ট হইয়া যাইতেছে। আর নতুন কইরা পোনাও ফুটতেছে না।,Saprolegniasis
সাদা দানা উঠার পর মাছগুলা পানিতে কেমন থরথর করে। পাখনাও ঠিকমতো কাজ করে না আর।,White Spot Disease
"মাছটা এখন আর ঝাঁক বাইন্ধা চলে না, কারণ পাখনা না থাকায় অন্য মাছেরা ওরে সাথে নেয় না।",Fin and Tail Rot
"চোখ দুইডা আর পেটটা একই তালে ফুলতেছে, অবস্থা খুব খারাপ।",Dropsy
"এই লাল রোগের ভয়ে মহাজন আর দাদন দিতে চায় না। কয়, এই মাছ নাকি লোকসানের মাছ।",Red Spot Disease
"এই মাছটাকে জালে ধরলেও নড়ে না, পেট ফুলে একদম কাহিল।",Dropsy
"পানির উপর ভাসতেছে মাছটা, ঘাড়ের দিকটা লাল ফোলা।",Argulosis
ছোট পোনাগুলার মাথা শরীরের তুলনায় বড় মনে হয়। কানকোর রোগের লাইগা শরীর আর বাড়তেই পারে নাই।,Myxoboliasis
মাছগুলার গায়ের রঙটা কেমন জানি ছাইয়ের মতো হইয়া গেছে। মাছের আর আগের উজ্জ্বলতা নাই।,Myxoboliasis
"এই রোগের কারণে আমার পুকুরের সব মাছের বৃদ্ধি বন্ধ হইয়া গেছে, খালি ঘা বাড়তেসে।",Epizootic Ulcerative Syndrome
মাছের গায়ে পচন ধরার পর থেইকা ওরা আর খাবারের জন্যেও উপরে ভাইসা আসে না।,Epizootic Ulcerative Syndrome
"মাছগুলার গায়ে কোনো শক্তিই নাই, অলসের মত ভাইসা থাকে। কানকোর ঘা দিন দিন খালি বাড়তেই আছে।",Myxoboliasis
"এই রোগে মাছের পাখনাগুলা এমনভাবে পচে যে ঐখানে আর কোনো রঙই থাকে না, সাদা হইয়া যায়।",Fin and Tail Rot
মাছের পেটটা কাইটা দেখি ভিতরে খালি রক্ত আর হলদে পানি। এই মাছ তো আর খাওন যাইব না।,Hemorrhagic Septicemia
"আগে মাছের গায়ে একটা ঘা আছিল, এখন সেই ঘায়ের উপরে শ্যাওলার মতো জমছে। মাছটা আর কিছুই মুখে দেয় না।",Saprolegniasis
"মাছের চোখ দুইটা ফুইলা এমন হইছে যে মনে হয় দুইটা কাঁচের গুলি লাগানো। মাছটা আর আগের মতো চঞ্চল নাই, কেমন জানি হইয়া গেছে।",Pop Eye
পিঠে হাত দিলে দানা দানা ফোঁটা টের পাই। মাছটার আচরণও বদলাইয়া গেছে।,White Spot Disease
"মাছটা আর তলে ডুব দেয় না, খালি উপরে ভাইসা ভাইসা শ্বাস নেয়।",Gill Rot
মাছের গায়ে যেন আঠার প্রলেপ দিছে। এইজন্যেই মাছটা কেমন জড়সড় হইয়া আছে।,White Spot Disease
"মাছটা এখন আর মাটির নিচের পোকাও খাইতে পারে না, কারণ পাখনা দিয়া মাটি খুঁড়তে পারে না।",Fin and Tail Rot
এই রোগ হইলে মাছের কলিজা আর পেটের ভিতরেও রক্ত জইমা কালা হইয়া যায়। মাছ কাইটা এই অবস্থা দেখছি।,Hemorrhagic Septicemia
"আমার শোল মাছটার কানশার তলে ঘা হইছে, এখন আর শিকারও করে না, খালি ভাইসে থাকে।",Gill Rot
মাছগুলার কানকোর ভিতরে ছোট ছোট পাথরের কণার মতো গুটি দেখা যায়। এইগুলাই মাছের শ্বাস বন্ধ কইরা দিতাছে।,Myxoboliasis
"মাছগুলা কেমন জানি উল্টা হইয়া সাঁতরায়, পেটটা উপরের দিকে থাকে। মাথার রোগেই এই দশা হইছে।",Myxoboliasis
"মাছগুলার কানশার ভিতরে মনে হইতাছে কেউ চুন লাগাইয়া দিছে, একদম সাদা।",Gill Rot
আমার অ্যাকুরিয়ামের সব মাছের চোখগুলা আস্তে আস্তে ফুলতাছে। কি যে এক বিপদ আইলো!,Pop Eye
"গায়ের চামড়াটা কেমন জানি নষ্ট হইয়া যাইতেছে, খসখসা হইয়া উঠছে। আর তার উপ্রে তো সাদা দাগ আছেই।",White Spot Disease
"এই রোগে মাছের চেহারাটাই বদলাইয়া যায়, দেইখা আর চেনার উপায় নাই। চোখ ফুলা, শরীর কালা, আর খালি ঘুরতেই থাকে।",Streptococcosis
মাছের গায়ে কি কোনো বিষাক্ত জোঁক লাগছে? এমনভাবে রক্ত চুইষা খাইছে যে লাল হইয়া গেছে।,Red Spot Disease
"মাছগুলার পাখনা সব ছিঁড়া ফালা ফালা হইয়া গেছে, আর শরীরটা রক্তে লাল। এই দৃশ্য দেইখা আর ঘেরে নামতে মন চায় না।",Hemorrhagic Septicemia
এই রোগটা কি খালি গরমকালেই হয়? আমার তো মনে হয় পানি বেশি গরম হইলেই এই রোগটা বাড়ে।,Red Spot Disease
"এই রোগটা আমার সব আশা-ভরসা কাইড়া নিসে, এখন আর মাছের দিকে তাকাইতেও ইচ্ছা করে না।",Fin and Tail Rot
এই রোগে মাছের প্লিহাটা ফুইলা এমন বড় হয় যে পেটের অন্য সব কিছু নষ্ট কইরা দেয়। মাছ কাইটা এইটা দেখলেই ভয় লাগে।,Streptococcosis
এই চোখ ফোলা মাছগুলা আর কিছুই খাইতে চায় না। খাবার দিলেও ফিরাইয়া নেয়।,Pop Eye
"মাছটা শিরশির কইরে কাঁপে আর ঘন ঘন মুখ খোলে, কানশার মধ্যে সব ঘা হইয়ে গেছে।",Gill Rot
"মাছটার পেটটা নরম আর ফোঁপরা, চাপ দিলেই অনেকটা ডেবে যায়, ভিতরে খালি পানি।",Dropsy
"মাছের গায়ে ঘা হইলে ঐটার আর কোনো দামই থাকে না, মানুষ ঐটারে আবর্জনা মনে করে।",Epizootic Ulcerative Syndrome
"মাছগুলার মাথাটা নিচের দিকে দিয়া সাঁতরায়, যেন ডুব দিতে চেষ্টা করতাছে কিন্তু পারতাছে না। এইটাও একটা রোগের লক্ষণ।",Streptococcosis
পাঙ্গাস মাছটার লেজের গোড়ায় রক্তের ছোপ লাইগা রইছে। মাছটা আর আগের মতো সাঁতরাইতে পারে না।,Red Spot Disease
"মাছের গাওঅ্যাঁ কেনে এমনে রাঙ্গা হইয়া গেল? মাছগুন তো আর আগের নাহান খেলে না, সব মড়ার মতো পইড়া আছে।",Red Spot Disease
এই মাছটারে ঝাঁকালে পেটের ভিতর থাইকা পানির ডবডব শব্দ পাওয়া যায়।,Dropsy
মাছের কানকোর পাশে চামড়া উইঠা গিয়া ঘা হইয়া গেছে। ওইখানেও সাদা সাদা দানা দেখা যায়।,Myxoboliasis
এই পেট ফোলা রোগে মাছের চোখগুলাও যেন বাইর হইয়া আসতে চায়। মাছটা কেমন জানি স্থবির হইয়া গেছে।,Dropsy
"আমার তাজা মাছগুলা দুই দিনের মইধ্যে গায়ে ক্ষত নিয়া ভাইসা উঠতেসে, কি যে এক রোগ আইলো।",Epizootic Ulcerative Syndrome
আমার সব মাছের লেজগুলা কেমন জানি মোমের মত হইয়া যাইতেছে আর খইসা পড়তেসে।,Fin and Tail Rot
ঘা হওয়ার পর থেইকা মাছগুলা আর কিছুই মুখে দেয় না। খালি ঝিমাইতে ঝিমাইতে পুকুরের তলার দিকে যায়।,Epizootic Ulcerative Syndrome
"মাছের কানকোর ভিতরে ফুলকাগুলা কেমন জানি পইচা গেছে, একটা বাজে গন্ধও আসতেসে। মাছটা নিঃশ্বাস নিতে পারতেসে না।",Gill Rot
"এই রোগটা খালি মাছরে মারে না, গেরামের সব চাষীর কোমর ভাইঙ্গা দিয়া যায়।",Epizootic Ulcerative Syndrome
মাছের কানকো থাইকা বিশ্রী একটা গন্ধ বাইর হয়। পচা ঘা হইয়া গেছে গুটিগুলার কারণে।,Myxoboliasis
"এই ঘেরটারে আমি আমার সন্তানের মতো দেখতাম, আর আজ এই উকুনের কারণে তারেই আমার মাটি চাপা দেওয়া লাগতেছে।",Argulosis
"ফানির উপরে খালি চিৎ হইয়া ভাসে, পেটটা বেলুনের লাখান।",Dropsy
মাছটা কেমন জানি উল্টাইয়া যাইতেছে। মনে হয় গায়ের সাদা গুটিগুলার ভারে সোজা থাকতে পারতেছে না।,White Spot Disease
গুতুম মাছগুলার মাথা আর পিঠের উপ্রে রক্ত জইমা কালা হইয়া গেছে। মাছগুলা খালি কাদার মইধ্যে মুখ গুজে মইরা থাকে।,Red Spot Disease
"চোখ দুইডা ফুলছে আর লাল হইয়া আছে, দেইখা মনে হয় ভিতরে রক্ত জইমা আছে।",Dropsy
"মাছটার গায়ে এত উকুন যে, মাছটা মনে হয় নিজের না, উকুনের ভারেই ডুইবে যাচ্চে।",Argulosis
মাছের গায়ে কি কোনো পোকা লাগছে? এমনভাবে কামড়াইয়া ধরছে যে সাদা হইয়া গেছে।,White Spot Disease
পোনা মাছগুলার পেট ফুলা আর গায়ে সাদা দাগ। মনে হয় এই যাত্রায় আর টিকব না।,White Spot Disease
মাছের পেটটা ফুলি আছে আর গায়ের আঁশগুলা সব সজারুর কাঁটার মতো খাড়া।,Dropsy
"মাছগুলা চোখে কেমন ঝাপসা দ্যাখে মনে হয়। গা পিঠে দানা, পেটেও শুরু হইছে।",White Spot Disease
মাছগুলা এমনভাবে লাফালাফি করে যে মনে হয় কেউ তাদেরে তাড়া করতাছে। এই লাফালাফি করতে করতেই মাছগুলা দুর্বল হইয়া পড়ে।,Streptococcosis
"মাছগুলা পানির উপরে আইসা উল্টাইয়া যায়, আবার কিছুক্ষণ পরে সোজা হয়। এই খেলা খেলতে খেলতেই মাছটা মইরা যায়।",Streptococcosis
মাছটার পেট ফুলতেছে আর গায়ের রঙও কালা হইয়া যাইতেছে।,Dropsy
"যে মাছটার পেট ফুলেছে, সে আর খাবার খেতে পারে না, দেখলেও সরে যায়।",Dropsy
"এই পোকাগুলা মাছের রক্ত চুইষা খায়, তাই মাছগুলা দিন দিন দুর্বল হইয়া পড়তেসে। কয়েকটা মইরাও গেছে।",Argulosis
আমার পাঙ্গাস মাছগুলার শরীরটা কেমন জানি স্প্রিংয়ের মতো মুচড়াইয়া গেছে। এই মাছ আর কোনোদিন সোজা হইব না।,Myxoboliasis
"মাছটার চোখ দুইটা ফুইলা এমন হইছে যে মনে হয় গোল গোল কাঁচের গুলি। মাছটা আর আগের মতো চঞ্চল নাই, এক কোণায় পইড়া থাকে।",Pop Eye
মাছগুলা খালি পানির উপরে ভাইসা খাবি খায়। তুইলা দেখি কানকোর নিচে লাল হইয়া আছে।,Hemorrhagic Septicemia
আমার শিং মাছগুলার কাঁটার গোড়ায় রক্ত জমছে। মাছগুলা আর নড়াচড়া করে না।,Hemorrhagic Septicemia
এই রোগটা হইলে মাছের আর বাঁচার কোনো আশা নাই। দিন দিন খালি মৃত্যুর দিকে আগায়।,Saprolegniasis
এই রোগে মাছের পাখনাগুলা এমনভাবে শেষ হয় যে মাছটা আর কোনোদিনও তার পুরান সৌন্দর্য ফিরা পায় না।,Fin and Tail Rot
এই ঘা এর কারণে মাছের ওজন এত কইমা গেছে যে দেইখা মনে হয় অনেকদিন কিছু খায় নাই।,Epizootic Ulcerative Syndrome
পাবদা মাছের চোখ ফুইলা এমন হইছে যে মাথাটাই আর দেখা যায় না। মাছটা কেমন জানি বেতাল হইয়া ঘুরতাছে।,Pop Eye
"আমার ঘেরের প্রায় সব মাছেরই পেট ফুলতে শুরু করছে, এইবার আমি পুরাই শ্যাষ।",Dropsy
মাছের গায়ে যেন কেউ সাদা রঙের সুতা পেঁচাই দিছে। এই সুতার জালে মাছটা আটকা পইড়া গেছে।,Saprolegniasis
"মাছের গায়ে এমনভাবে ছত্রাক জমছে, যেন একটা সাদা চাদর দিয়া ঢাইকা দিছে। মাছটা আর নড়তেও পারতেছে না।",Saprolegniasis
"মাছগুলা পানির উপরে আইসা কেমন জানি কাঁপতে থাকে, আর চোখ দুইটা ফুইলা মার্বেলের মতো হইয়া গেছে। এই মাছ আর বাঁচব বইলা মনে হয় না।",Streptococcosis
আঁশগুলা খাড়া আর পেট ফোলা দেইখা অন্য মাছগুলাও এরে ভয় পায়।,Dropsy
দম ন ফাইতে ফাইতে মাস উগগা দুর্বল অইয়ে।,Gill Rot
"কি এক আসমানি গজব, মাছের সারা গায়ে যেন রক্তের ছিটা দিয়া রাখছে। ধরতেও ভয় লাগে।",Hemorrhagic Septicemia
একটু বৃষ্টি হইয়া পানি ঠান্ডা হইলেই এই মরণ রোগটা পুরা পুকুরে ছড়াইয়া পড়ে।,Epizootic Ulcerative Syndrome
"মাছটা আর ডুবও দেয় না, সাঁতারও কাটে না, খালি ভাসে।",Dropsy
"আমার শিং মাছগুলার কাঁটার গোড়ায় রক্ত জইমা আছে। মাছগুলা আর চলেই না, যেন মরা।",Hemorrhagic Septicemia
"লেজের গোড়া ফাটার মতো, তার পাশে দানা জমে। চললেই ওই দিক থেইকা কিসু পড়ে।",White Spot Disease
মাছের গায়ে যেন কেউ সাদা রঙের ধুনার গুঁড়া লাগাই দিছে। মাছটা কেমন জানি হইয়া গেছে।,Saprolegniasis
ফুলকাগুলা শুকাইয়ে এমন হইছে যে দেইখে মনে হয় কেউ শুকনা মরিচ গুঁড়া কইরে লাগাইয়ে দিছে।,Gill Rot
এই রোগে মাছের চোখ দুইটা এমনভাবে নষ্ট হয় যে শেষ পর্যন্ত গইলা পইড়া যায়। এই দৃশ্য সহ্য করা যায় না।,Streptococcosis
মাছগুলা এমনভাবে ঘুরতে থাকে যে নিজের লেজ নিজেই কামড়াইতে চায়। দেইখা মনে হয় মাছটা পাগল হইয়া গেছে।,Streptococcosis
মাছগুলার কানকোর ভিতরে মাকড়সার জালের মতো আস্তরণ পড়ছে। এইগুলা আসলে রোগের জীবাণু।,Myxoboliasis
"পুকুরের কোণায় সব পেট ফোলা মাছগুলা জড়ো হইছে, একটাও লড়েচড়ে না।",Dropsy
পাঙ্গাস মাছের পাখনাগুলা সব লাল হইয়া খইসা পড়তাছে। মাছটা দুর্বল হইয়া স্রোতের টানে ভাইসা যায়।,Hemorrhagic Septicemia
"হাত দিয়া ধরলিই পাখনার মাংস উইঠা আহে, খালি কাঁটাডা শরীরে লাইগা থাকে।",Fin and Tail Rot
"চোখ দুইডা এমন ডাবগা যে মাছটার চেহারাটাই বদলায়া গ্যাছে, চেনাই যায় না।",Dropsy
মৃগেল মাছগুলান কিছুই খাইতে চায় না। কানকোটা তুইলা দেখলে ভিতরে ছোট ছোট ফুসকুড়ির মত দেখা যায়।,Myxoboliasis
"মাছগুলার মুখের ভিতরে আর মাড়িতে ছোট ছোট ঘা হইছে, আর ওইখান থাইকা রক্ত পড়ে। এইজন্যই মাছগুলা কিছুই খাইতে পারে না।",Streptococcosis
এই চোখ ফোলা রোগটা কি কোনো পরজীবীর কারণে হয়? মাছের চোখের দিকে তাকাইলে মনে হয় ভিতরে কিছু একটা আছে।,Pop Eye
চোখ দুইডা এমন কইরা বাইর হইছে যে মাছের আর কিছুই ভালো লাগে না মনে হয়।,Dropsy
"আমার চিতল মাছগুলার পেটটা ফুলা, আর চোখ দুইটা বাইর হইয়া আইছে। এই মাছগুলার বাঁচার আর কোনো আশা নাই।",Streptococcosis
"এইবার ভাবসিলাম পুকুরটা আরো বড় করমু, কিন্তু ঘা রোগের কারণে এখন পুকুরটাই বুজাইয়া ফেলার চিন্তা করতেসি।",Epizootic Ulcerative Syndrome
"মাছের ফুলকাগুলা খুলতেই দেখি ভিতরে সব সাদা হইয়া গেছে, আর রক্ত জইমা আছে। মাছটা শ্বাস নিতে পারতেছে না।",Hemorrhagic Septicemia
"এই উকুনগুলা আমারে বুঝাইয়ে দিলো যে, মানুষের আশা আর মাছের জীবন, দুইটাই খুব ঠুনকো।",Argulosis
"এই রোগের কোনো চিকিৎসা আছে বইলা মনে হয় না। যত দিন যাইতাছে, মাছ মরা খালি বাড়তেই আছে।",Myxoboliasis
এই রোগে মাছের পাখনাগুলা এমনভাবে খসে যে দেইখা মনে হয় মাছটা আর কোনোদিনও বড়ই হয় নাই।,Fin and Tail Rot
এই মাছগুলার কোনো বাজারদর নাই। মানুষ দেখলেই বুইঝা ফেলে যে এইটা রোগা মাছ।,Myxoboliasis
এই সাদা দাগগুলার জন্যেই মাছের বংশ শেষ হইয়া যাইতেছে। এই পুকুরে আর মাছ থাকব না।,White Spot Disease
মাছের মুখের চারপাশে সাদা দাড়ি গজাইছে মনে হয়। এইজন্যে মাছটা আর মুখ খুলতে চায় না।,Saprolegniasis
রুই মাছের পিঠের উপরে বড় একটা লাল চাকা হইছে। ওই জায়গাটা পইচা যাইতাছে দিন দিন।,Hemorrhagic Septicemia
"পাখনার কাঁটাগুলা সব কালা হয়া গ্যাছে, মনে হয় ভিতরেও পচন ধইরা গ্যাছে।",Fin and Tail Rot
এই পেট ফোলা মাছগুলা পানির তলে যাইতে না পাইরা খালি উপরে আইসা হা কইরা থাকে।,Dropsy
"পানির দোষেই এই দশা, দেহেন না মাছের পাখনার গোড়া সব লাল টুকটুইকা হয়া রইছে।",Fin and Tail Rot
এই মাছগুলারে আলাদা না করলে বাকিগুলাও বাঁচানো যাইব না।,Gill Rot
মাছটা এমনভাবে পাথরের সাথে মাথা ঠুকতেছে যে মনে হয় যন্ত্রণা কমানোর জন্য নিজেই মইরে যাইতে চাইতেছে।,Argulosis
"মাছের গায়ে এমন লাল দাগ, দেইখা মনে হয় যেন কেউ লাল রঙের তিল ছিটাই দিছে।",Red Spot Disease
ফলি মাছের চোখ ফুইলা এমন হইছে যে ও আর সাপের মতো চলে না। কেমন জানি লাঠির মতো শক্ত হইয়া গেছে।,Pop Eye
মাছের লেজটা কেমন পইচা খইসা যাইতেছে। আর গোড়ার দিকে সাদা তুলার মতো জমছে।,White Spot Disease
মাছগুলার নিচের চোয়ালটা ঝুইলা পড়ছে। এই কারণে মুখ আর বন্ধ করতে পারে না।,Myxoboliasis
"আমার ভালো ভালো মাছগুলারও পেট ফুলতেছে, কি যে এক রোগ আইলো।",Dropsy
"ছোট পোনাগুলান তো এমনিতেই মইরে ভাইসে রইছে, কানকো খুলতেই দেখি ভিতরে কিচ্ছু নাই।",Gill Rot
"এই ঘেরের দিকে আমি আর কোনোদিনও ফিরেও তাকাবো না, এইটা আমার জীবনের সবথেকে বড় ভুলের সাক্ষী।",Argulosis
"এই রোগের পর পুকুরের পানি এত ময়লা হইসে যে হাত দিলে চুলকায়, সব মাছ পইচা একাকার।",Epizootic Ulcerative Syndrome
"পেটটা ফুলি মাছটার গায়ের চামড়া পাতলা কাগজের মতো হইয়া গ্যাছে, শিরা দেখা যায়।",Dropsy
"এই রোগটা কি শুধু বড় মাছেই হয়, নাকি পোনা মাছেরও হয়? আমার তো মনে হয় সব মাছেই হইতেছে।",White Spot Disease
গায়ের সব আঁশ এমনভাবে খাড়া যে দেখলে মনে হয় শরীর ভরা কাঁটা।,Dropsy
আমার শিং মাছগুলার চোখ দুইটা এমনভাবে ফুইলা উঠছে যে মাথাটাই আর দেখা যায় না। দেইখা মনে হয় অন্য কোনো আজব প্রাণী।,Streptococcosis
চ্যাপ্টা উকুন কামড় দিয়া মাছের শরীর লাল কইরা দিছে।,Argulosis
মৃগেল মাছগুলার পেটের তলে রক্তের রেখা দেখা যায়। মাছগুলা কেমন জানি দুর্বল হইয়া গেছে।,Red Spot Disease
মাছের গায়ের চামড়াটা উইঠা যাইতেছে। আর চামড়ার নিচে সাদা সাদা কি জানি দেখা যায়।,White Spot Disease
"এই রোগে মাছের শরীরটা শক্ত হইয়া যায়, আর ঘায়ের জায়গাটা গইলা পড়ে।",Epizootic Ulcerative Syndrome
এইটা এমন এক রোগ যে মাছের রক্ত পানি হইয়া যায়। তাই চামড়ার নিচেই রক্ত জমতে দেখা যায়।,Hemorrhagic Septicemia
"মাছটা কেমন জানি দিক হারাইয়া ফেলছে, খালি গোল গোল হইয়া ঘুরতেছে। গায়ে তো দাগ আছেই।",White Spot Disease
"পুকুর শুকাইয়া নতুন পানি দিলাম, তাও এই ঘা-ওয়ালা রোগের হাত থেইকা রেহাই পাইলাম না।",Epizootic Ulcerative Syndrome
"আমার শখের কই মাছগুলার পাখনা সব লাল টকটকা হইয়া গেছে। মাছগুলা আর আগের মতো খেলে না, এক কোণায় পইড়া থাকে।",Hemorrhagic Septicemia
আমার রুই মাছগুলার ফুলকা এমনভাবে পইচে গেছে যে মাছের রঙও ফ্যাকাশে হইয়ে গেছে।,Gill Rot
"যে মাছের ঘা হবে, তার কিছুদিন আগে থেইকাই খাওনদাওন কইমা যায় আর গায়ের রঙটা কেমন ফ্যাকাসে হইতে থাকে।",Epizootic Ulcerative Syndrome
"এই উকুনগুলা মাছের গায়ে এমনভাবে লাইগে থাকে যে, মাছটা মইরে গেলেও ছাড়ে না।",Argulosis
মাছের চোখটা ফুইলা এমন ঘোলা হইছে যে মনে হয় ছানি পড়ছে। মাছটা আর মানুষ দেখলেও ডরায় না।,Pop Eye
"মাছটা আর ডুব দেয় না, পেটটা ফুলার কারণে খালি শোলার মতো ভাসে।",Dropsy
কানকোর গুটিগুলা এত শক্ত যে নখ দিয়াও উঠানো যায় না। মাছের মাংসের লগে একদম আটকাইয়া রইছে।,Myxoboliasis
"এই রোগটা কি শুধু এই পুকুরেই হইছে, নাকি আশপাশের সব পুকুরেই ছড়াইয়া গেছে? খবর নিতে হইব।",White Spot Disease
"চোখ বাইর হওয়া মাছগুলার দাম তো নাই-ই, দেখতেও খারাপ লাগে।",Dropsy
"যেই মাছটা এক সময় ভালো দৌড়াতো, এখন পানি থাইকাও মুখ বাইরাইয়া নিঃশ্বাস নিতে হয়।",Argulosis
"মাছের রুপালি রঙটা কই গেল, কিছুই বুঝলাম না। এখন খালি সারা গায়ে লাল লাল ছাপ।",Red Spot Disease
কৈ মাছের সারা শরীরে লাল ফুসকুড়ির মতো উঠছে। মাছগুলা আর আগের মতো লাফায় না।,Hemorrhagic Septicemia
"আঁশগুলা খাড়া হয়া মাছটার শরীরটা কেমন অসমতল হয়া গ্যাছে, মসৃণ নাই।",Dropsy
মাছের গায়ে যেন কেউ লাল রঙের সুতা জড়াই দিছে। মাছটা আর সোজা হইতে পারতেছে না।,Red Spot Disease
"মাছটা এখন আর মাটির নিচের শামুকও খাইতে পারে না, কারণ পাখনা দিয়া মাটি খুঁড়তে পারে না।",Fin and Tail Rot
পুকুরের সব থেকে তেজি মাছটাই দেখি ঘায়ে পইচা সবার আগে মরলো।,Epizootic Ulcerative Syndrome
"মাছের গায়ে যেন কেউ লাল রঙের অঙ্গার ছিটাই দিছে, খালি তিড়িং বিড়িং কইরা লাফায়।",Red Spot Disease
গায়ের উপ্রে সাদা সাদা ফেনার মতো কি জানি জমছে। মাছগুলা এইর লাইগা সারাদিন পানির উপ্রে ভাইসা থাকে।,White Spot Disease
"পানি বদলাইলাম, চুন দিলাম, তাও দেহি মাছের পেট ফোলা কমে না।",Dropsy
"এই রোগের কোনো প্রতিকার নাই? যা-ই করি, কোনো ফায়দা হয় না।",White Spot Disease
এইবার বর্ষার পর থাইকাই মাছের এই মড়ক শুরু হইছে। গায়ে লাল ফুস্কুড়ি আর চোখ বাইর হওয়া রোগ।,Hemorrhagic Septicemia
মাছের লেজটা ছিঁড়া যাইতেছে। আর লেজের গোড়ায় সাদা ফাঙ্গাসের মতো জমছে।,White Spot Disease
"এই রোগের কোনো ওষুধ নাই? যা-ই দিতেছি, কোনো কাম হইতেছে না।",White Spot Disease
"পুকুরের পানিটা এখন আর স্বচ্ছ নাই, মাছের পচা ঘায়ের কারণে কেমন ঘোলা আর ভারী হইয়া গেছে।",Epizootic Ulcerative Syndrome
"আমার কৈ মাছগুলার বুকের পাখনা দুইটাই পইচা গেছে, তাই খালি তলায় পইড়া থাকে।",Fin and Tail Rot
"মাছের লেজটা পইচা এমন হইছে যে, আর নাড়ানোই যায় না। আর গোড়ায় তো সাদা ছত্রাক আছেই।",Saprolegniasis
এই পচা ঘা এত ভয়ংকর যে মাছটা মইরা গেলেও এর শরীরটা সহজে মাটিতে মেশে না।,Epizootic Ulcerative Syndrome
"মাছটা থরথর কইরা কাঁপতেছে। মনে অয় শীতে কাঁপতেছে, আর গায়ে তো সাদা গুটি আছেই।",White Spot Disease
"আমার মনে আছে, এই মাছগুলার পোনা যখন ছাড়ছিলাম, কি সুন্দর রুপালি রঙ ছিলো, আর এখন এই উকুনের তলে সেই রঙ হারাইয়ে গেছে।",Argulosis
আমার সব থেকে বড় কাতলা মাছটাই এই রোগে মারা গেল। মাছটা মরার আগে খালি ঘুরপাক খাইছে আর লাফাইছে।,Streptococcosis
আঁশ খাড়া আর পেট ফোলা—এই দুইটা একসাথে দেখলে ওই মাছ আর রাখা ঠিক না।,Dropsy
মাছের গায়ে যেন কেউ সাদা রঙের পর্দা টাঙাই দিছে। এই পর্দাতেই মাছের জীবন ঢাকা পইড়া গেছে।,Saprolegniasis
চোখ ফুইলা মাছটার লেজটাও কেমন জানি বাঁকা হইয়া গেছে। মনে হয় পুরা শরীরেই রোগ ছড়াইছে।,Pop Eye
মাছের ফুলকা থাইকা আঠালো এক ধরনের জিনিস বাইর হইতেছে। গুটিগুলার লাইগা ফুলকা পইচা যাইতেছে।,Myxoboliasis
মাছের গায়ে যেন কেউ সাদা রঙের উল বুইনা দিছে। এই উলের সোয়েটারেই মাছের মরণ।,Saprolegniasis
এই রোগে মাছের গায়ের রঙটা এমনভাবে কালা হয় যে দেইখা মনে হয় মাছটারে পোড়া মবিল মাখানো হইছে। এই মাছ কেউ হাতেও নিতে চায় না।,Streptococcosis
এই মাছ বাজারে নিলে মানুষ হাসাহাসি করে। এই বিকলাঙ্গ মাছ কেউ কিনবার চায় না।,Myxoboliasis
